Participant ID,group
6e74273c-f542-45c2-b496-f60298d0d65f,17
6a599df1-99e7-4e2a-b26d-d93d82ad4719,33
8e0d6ea3-b822-41db-b6b9-ec1422027292,15
d564dbe1-f77a-428e-85f3-1a54c12287bb,7
c2c4bd16-39be-46ad-9c25-5cc70a713701,28
b0d1e757-955c-418b-8aff-f78bc749e4ea,2
a8140ba2-f4bc-4394-a31e-74e66262e8d5,13
e5d41b4f-826e-4f70-b3f6-ab182ffd5ae5,13
0a7f1dfe-0cde-440b-b496-48b37ba50920,22
ce9f06a3-ad8e-461f-8b54-7e45dcc3e25d,34
e2305bc3-e2ac-42bc-949d-e36727fd7f14,11
5fd4f251-4d7d-4f30-a453-2ca33b1a349f,19
4e307f78-6cab-48a7-b201-e57c5bb1c4e2,20
89ccffa5-0db0-45ce-9fad-528f2a67eb92,10
c61f9757-8d3b-4151-ac85-93b464ccb9b4,20
766520c8-4936-472e-9418-5a719262c839,34
585068bb-7c6e-46de-a543-5fe6716eebb6,31
6d96bb79-84a8-4e6b-96c2-49736a955723,11
7a68c4d0-d730-4717-9d78-7c91a95722d4,3
9f9435b5-1a59-4ffe-aa00-100f436309b4,30
a9608594-134f-4764-a1e7-68d07957a516,33
785b5575-44d4-459e-88f4-084b616567de,29
e56253ae-a15b-4ad9-81b3-8ef4603ed069,15
7760a548-c6ea-4f1e-b7b0-aa6f33370b5a,13
117e7fe2-0366-43d8-8b06-a4e99c44238b,19
6d47e918-a328-4f69-b6a3-bfdbfcc73c96,5
ace850e0-c41b-4aa8-a85f-ab3a711de77d,25
52212d8a-1ca1-4683-ac8f-2b6020e59c74,35
20cb8505-5a52-46a3-ac7f-b70eb55c45d7,5
72d3fce4-0575-48d9-a18a-1e8c193a6c6f,4
488fe7f5-09bf-46e1-8eba-d2593286c44c,5
520ca2f4-b81e-4073-bdbb-845350d4cc10,21
a3714d4c-d1de-4a07-93eb-0485a76daa44,37
2b970c6a-0af4-4bca-aecf-90144668d6f7,17
5a79e330-0795-440c-9347-9ed506f2d39e,12
0431915e-83d0-4f80-849b-e3cb316d0463,34
601e0b5c-80de-4cea-9174-8a7a42026698,23
72a7e657-42af-4db5-802b-872c91391b5f,6
73f1955b-e88e-4ef4-84ea-ecc7eb2cdf67,24
06bac18f-c9db-4a0d-83f3-ed277cecf39a,29
34964364-5296-432b-80db-c8120ea3c5d0,16
baa1ab35-1bfd-47e0-b13e-8765e841efec,37
17201971-5ebf-408f-acc7-9aea57eb4aca,4
31839878-fcc9-4c5e-9fff-ad42e9d932e2,32
22523580-97a4-43c9-a683-1cea5de379e6,25
9d49bcda-08c3-4f20-a4a5-f3324a835e72,31
d068bd53-215b-4334-a050-7f670b590cae,35
87d49ed8-7e92-4cb8-8e50-0578f15f77ed,31
646e1b46-dea3-4010-a1ed-84be2d63144f,30
3a3df8b8-29c0-44bf-a4aa-6c40cb740d27,37
4f9c6e6b-4551-4e5f-89f2-1e9a342d8037,22
f04860ea-3c90-4df9-a91c-3df18f2f4019,29
02a8c647-3a77-4737-8583-13bd38fa3639,18
d5a2ccb1-4dbe-404d-b2fd-25e7923d2af8,36
6bcdacfa-9929-4f54-a9ca-c88114263f50,0
7f02a2e3-77f2-4cc9-884b-25aef268f606,25
0feaea63-0231-49a3-8c86-be785111c090,32
324a1ac3-a58f-4de6-8f29-e3af3fe592b2,8
b61815a7-2a74-4f89-831b-f6ebe9f4e878,32
d0d8a0dc-ed6f-4a6b-ae4a-2f4f008a33e8,23
c55043be-5030-4b6f-b91a-fa24ce9abb18,21
c744e790-0fbb-468f-bdc3-5af787440cf9,26
c032e99b-47ad-418f-bccb-fff0ff4e65bd,8
ac43c563-37d4-498e-b886-224b286942fb,35
7d8398aa-0469-4012-acca-336af80969cb,1
3c2e0657-1564-47bb-94fb-6d87657e16d6,16
7289c7bc-48fb-47e7-86d5-a0b3b70db18c,21
c90e4f05-e600-44e0-92bb-546241337027,24
b053c3f9-0427-4ce2-a8c9-62e694f8a864,26
2cc5f2e7-7f7e-410f-ab45-cf770f39ee34,13
19b6c4a0-8431-467b-a4c9-540a656c6cae,4
8a4b27e7-203e-45a9-bf75-afbea07a180a,25
1a565cee-5371-4188-9de0-953d693990fa,33
04ffe2e9-bc5f-4356-87ed-d77e580038d7,28
e32ee25f-301b-4732-a2fd-b28fa3629a42,34
99cbdd3c-1797-444d-b2a7-7053edb5f19a,12
72b42dbe-9488-4b71-b1bc-76c2abc1dc56,2
7fce59dc-aeb1-44a9-83f5-f3010584ee6c,24
147f512b-bddd-4efd-a79a-f2ce2a7437fb,5
a39f1747-f97e-4de7-b412-3363018b003c,8
60e72c9b-a679-42aa-b012-cffc6f07d105,23
b2806272-2a09-4957-83ac-28269cba1e79,34
10e8d29a-cf79-4913-940b-e67eec636b01,10
0cc155a6-4ba9-4ee2-8058-f58ca2c8127b,30
b47a1cf5-0970-4f15-9faf-3a8284eb2cc4,30
0b97fc7e-2910-4fcd-9b3b-27443373f5a6,4
e07d7045-9538-44c6-90df-fce749ecb537,29
0b190caa-0aa2-4b25-ac81-3ee0f921d70d,10
b45894cb-41f6-49ab-9fb2-47c28bf5000e,12
1477df75-07df-4c6f-85af-1267ec0d3d75,23
1b6b8679-0ebc-48de-bfa4-21e151b49c61,27
0de77d5b-82cc-4354-b36f-94b522d4e42b,25
99e98db2-bb4e-4d41-993d-6c4b555e4697,20
25d0c660-260d-4b58-b46f-ceebe809afc4,31
ba1ef096-a6b3-4d7d-b417-3a61316fa7f2,17
